Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Product id,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency),Base Plan ID,Offer ID
GPA.3314-3067-8984-86281,"Sep 1, 2021",1:09:37 AM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,coreprimevelte,IT,MB,20900,EUR,2.08,1.000000,EUR,2.08,,
GPA.3311-2378-8945-03309,"Sep 1, 2021",8:35:27 AM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,sunfish,US,IN,46142,USD,3.49,0.844400,EUR,2.95,,
GPA.3311-2378-8945-03309,"Sep 1, 2021",8:35:27 AM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,sunfish,US,IN,46142,USD,-0.52,0.844400,EUR,-0.44,,
GPA.3303-4045-0553-92783,"Sep 1, 2021",12:27:40 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,begonia,GB,,WV113HU,GBP,1.84,1.163400,EUR,2.14,,
GPA.3359-6962-8916-33548,"Sep 1, 2021",2:11:11 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,c2q,US,KS,67487,USD,5.49,0.844750,EUR,4.64,,
GPA.3359-6962-8916-33548,"Sep 1, 2021",2:11:11 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,c2q,US,KS,67487,USD,-0.82,0.844750,EUR,-0.69,,
GPA.3304-9694-4178-20321,"Sep 1, 2021",9:16:32 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,gta4xlwifi,US,PA,19055,USD,5.49,0.844700,EUR,4.64,,
GPA.3304-9694-4178-20321,"Sep 1, 2021",9:16:32 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,gta4xlwifi,US,PA,19055,USD,-0.82,0.844700,EUR,-0.69,,
GPA.3317-7958-0536-27883,"Sep 1, 2021",9:16:45 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,gta4xlwifi,US,PA,19055,USD,3.49,0.844700,EUR,2.95,,
GPA.3317-7958-0536-27883,"Sep 1, 2021",9:16:45 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,gta4xlwifi,US,PA,19055,USD,-0.52,0.844700,EUR,-0.44,,
GPA.3310-1305-5662-41412,"Sep 1, 2021",10:16:02 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,o1q,US,NJ,08110,USD,3.49,0.844700,EUR,2.95,,
GPA.3310-1305-5662-41412,"Sep 1, 2021",10:16:02 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,o1q,US,NJ,08110,USD,-0.52,0.844700,EUR,-0.44,,
GPA.3392-9082-5656-43618,"Sep 1, 2021",11:00:24 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,HWEML,GB,,TR151QS,GBP,1.84,1.163600,EUR,2.14,,
GPA.3302-9940-0327-76927,"Sep 1, 2021",11:25:09 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,taimen,US,CA,95758,USD,5.49,0.844950,EUR,4.64,,
GPA.3302-9940-0327-76927,"Sep 1, 2021",11:25:09 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,taimen,US,CA,95758,USD,-0.82,0.844950,EUR,-0.69,,
GPA.3385-8647-2305-24171,"Sep 2, 2021",6:04:57 AM PDT,,Charge,,System Info LIve Wallpaper,com.droidbs.wallpaper.live.systeminfo,0,,DRG_sprout,ID,,20251,IDR,26000.00,0.000059,EUR,1.54,,
GPA.3385-8647-2305-24171,"Sep 2, 2021",6:04:57 AM PDT,,Google fee,,System Info LIve Wallpaper,com.droidbs.wallpaper.live.systeminfo,0,,DRG_sprout,ID,,20251,IDR,-3900.00,0.000059,EUR,-0.23,,
GPA.3385-8647-2305-24171,"Sep 2, 2021",6:07:17 AM PDT,,Charge refund,Full,System Info LIve Wallpaper,com.droidbs.wallpaper.live.systeminfo,0,,DRG_sprout,ID,,20251,IDR,-26000.00,0.000059,EUR,-1.54,,
GPA.3385-8647-2305-24171,"Sep 2, 2021",6:07:17 AM PDT,,Google fee refund,Full,System Info LIve Wallpaper,com.droidbs.wallpaper.live.systeminfo,0,,DRG_sprout,ID,,20251,IDR,3900.00,0.000059,EUR,0.23,,
GPA.3366-3602-5532-01020,"Sep 2, 2021",9:06:30 AM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,a3xelte,ID,DKI JAKARTA,11730,IDR,80000.00,0.000059,EUR,4.72,,
GPA.3366-3602-5532-01020,"Sep 2, 2021",9:06:30 AM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,a3xelte,ID,DKI JAKARTA,11730,IDR,-12000.00,0.000059,EUR,-0.71,,
GPA.3352-1972-5632-61259,"Sep 2, 2021",2:54:13 PM PDT,,Charge,,CE 2012,com.droidbs.apps.ekapp2012,0,,davinci,FR,,77820,EUR,0.84,1.000000,EUR,0.84,,
GPA.3300-6828-0391-41258,"Sep 2, 2021",3:02:16 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,a11q,US,CA,96057,USD,5.49,0.842100,EUR,4.62,,
GPA.3300-6828-0391-41258,"Sep 2, 2021",3:02:16 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,a11q,US,CA,96057,USD,-0.82,0.842100,EUR,-0.69,,
GPA.3395-9300-0686-60046,"Sep 2, 2021",3:02:32 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,a11q,US,CA,96057,USD,3.49,0.842100,EUR,2.94,,
GPA.3395-9300-0686-60046,"Sep 2, 2021",3:02:32 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,a11q,US,CA,96057,USD,-0.52,0.842100,EUR,-0.44,,
GPA.3382-1777-0824-40795,"Sep 2, 2021",5:45:35 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,starqlteue,US,IL,62629,USD,3.49,0.842150,EUR,2.94,,
GPA.3382-1777-0824-40795,"Sep 2, 2021",5:45:35 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,starqlteue,US,IL,62629,USD,-0.52,0.842150,EUR,-0.44,,
GPA.3343-0534-3494-63840,"Sep 2, 2021",7:27:11 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,guamna,US,WA,98072,USD,5.49,0.841550,EUR,4.62,,
GPA.3343-0534-3494-63840,"Sep 2, 2021",7:27:11 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,guamna,US,WA,98072,USD,-0.82,0.841550,EUR,-0.69,,
GPA.3389-1116-2025-20257,"Sep 2, 2021",8:00:27 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,7305F,US,OH,45044,USD,5.49,0.841600,EUR,4.62,,
GPA.3389-1116-2025-20257,"Sep 2, 2021",8:00:27 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,7305F,US,OH,45044,USD,-0.82,0.841600,EUR,-0.69,,
GPA.3386-2017-0958-39262,"Sep 2, 2021",8:00:49 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,7305F,US,OH,45044,USD,3.49,0.841600,EUR,2.94,,
GPA.3386-2017-0958-39262,"Sep 2, 2021",8:00:49 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,7305F,US,OH,45044,USD,-0.52,0.841600,EUR,-0.44,,
GPA.3313-8240-6522-00085,"Sep 2, 2021",9:05:02 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,a11q,US,AL,36585,USD,3.49,0.841600,EUR,2.94,,
GPA.3313-8240-6522-00085,"Sep 2, 2021",9:05:02 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,a11q,US,AL,36585,USD,-0.52,0.841600,EUR,-0.44,,
GPA.3379-8781-0136-57259,"Sep 2, 2021",9:18:57 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,star2qlteue,US,TX,75944,USD,5.49,0.841600,EUR,4.62,,
GPA.3379-8781-0136-57259,"Sep 2, 2021",9:18:57 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,star2qlteue,US,TX,75944,USD,-0.82,0.841600,EUR,-0.69,,
GPA.3355-2940-5988-11671,"Sep 2, 2021",9:55:58 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,taimen,US,IN,47960,USD,5.49,0.841600,EUR,4.62,,
GPA.3355-2940-5988-11671,"Sep 2, 2021",9:55:58 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,taimen,US,IN,47960,USD,-0.82,0.841600,EUR,-0.69,,
GPA.3377-1357-7370-17746,"Sep 2, 2021",9:56:12 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,taimen,US,IN,47960,USD,3.49,0.841600,EUR,2.94,,
GPA.3377-1357-7370-17746,"Sep 2, 2021",9:56:12 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,taimen,US,IN,47960,USD,-0.52,0.841600,EUR,-0.44,,
GPA.3351-7405-9904-63182,"Sep 3, 2021",1:58:08 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,ginna,US,CO,81401,USD,3.49,0.840700,EUR,2.93,,
GPA.3351-7405-9904-63182,"Sep 3, 2021",1:58:08 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,ginna,US,CO,81401,USD,-0.52,0.840700,EUR,-0.44,,
GPA.3301-0335-5233-29185,"Sep 3, 2021",1:58:32 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,ginna,US,CO,81401,USD,5.49,0.840700,EUR,4.62,,
GPA.3301-0335-5233-29185,"Sep 3, 2021",1:58:32 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,ginna,US,CO,81401,USD,-0.82,0.840700,EUR,-0.69,,
GPA.3332-8746-6153-02914,"Sep 3, 2021",2:43:20 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,mid8011,US,MS,39305,USD,3.49,0.841750,EUR,2.94,,
GPA.3332-8746-6153-02914,"Sep 3, 2021",2:43:20 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,mid8011,US,MS,39305,USD,-0.52,0.841750,EUR,-0.44,,
GPA.3333-4385-6003-10861,"Sep 3, 2021",3:06:06 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,x1q,US,UT,84067,USD,3.49,0.841800,EUR,2.94,,
GPA.3333-4385-6003-10861,"Sep 3, 2021",3:06:06 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,x1q,US,UT,84067,USD,-0.52,0.841800,EUR,-0.44,,
GPA.3344-9665-9653-04565,"Sep 3, 2021",6:29:53 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,jackpotltecan,CA,AB,T8W 0G8,CAD,7.49,0.672180,EUR,5.03,,
GPA.3344-9665-9653-04565,"Sep 3, 2021",6:29:53 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,jackpotltecan,CA,AB,T8W 0G8,CAD,-1.12,0.672180,EUR,-0.75,,
GPA.3332-0557-1861-11776,"Sep 3, 2021",6:42:28 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,dream2qltesq,US,VA,20152,USD,5.49,0.841800,EUR,4.62,,
GPA.3332-0557-1861-11776,"Sep 3, 2021",6:42:28 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,dream2qltesq,US,VA,20152,USD,-0.82,0.841800,EUR,-0.69,,
GPA.3319-3664-5683-52681,"Sep 3, 2021",7:00:07 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,walleye,US,NC,27410,USD,5.49,0.841800,EUR,4.62,,
GPA.3319-3664-5683-52681,"Sep 3, 2021",7:00:07 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,walleye,US,NC,27410,USD,-0.82,0.841800,EUR,-0.69,,
GPA.3335-7936-7005-86700,"Sep 3, 2021",7:01:21 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,walleye,US,NC,27410,USD,3.49,0.841800,EUR,2.94,,
GPA.3335-7936-7005-86700,"Sep 3, 2021",7:01:21 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,walleye,US,NC,27410,USD,-0.52,0.841800,EUR,-0.44,,
GPA.3315-3682-9380-22128,"Sep 3, 2021",9:05:42 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,lavender,DE,,74229,EUR,3.56,1.000000,EUR,3.56,,
GPA.3379-6955-6143-50748,"Sep 4, 2021",12:40:11 PM PDT,,Charge,,Golf Live Pro,com.vansteinengroentjes.live.golfpro,0,,r8q,US,ID,83815,USD,0.99,0.841800,EUR,0.83,,
GPA.3379-6955-6143-50748,"Sep 4, 2021",12:40:11 PM PDT,,Google fee,,Golf Live Pro,com.vansteinengroentjes.live.golfpro,0,,r8q,US,ID,83815,USD,-0.15,0.841800,EUR,-0.13,,
GPA.3350-0172-6666-63189,"Sep 4, 2021",12:57:21 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,star2qltesq,US,FL,34479,USD,5.49,0.841800,EUR,4.62,,
GPA.3350-0172-6666-63189,"Sep 4, 2021",12:57:21 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,star2qltesq,US,FL,34479,USD,-0.82,0.841800,EUR,-0.69,,
GPA.3317-6287-7949-64560,"Sep 4, 2021",5:47:09 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,dreamqltesq,US,MI,49262,USD,3.49,0.841800,EUR,2.94,,
GPA.3317-6287-7949-64560,"Sep 4, 2021",5:47:09 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,dreamqltesq,US,MI,49262,USD,-0.52,0.841800,EUR,-0.44,,
GPA.3336-2828-6597-33550,"Sep 4, 2021",5:50:00 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,dreamqltesq,US,MI,49262,USD,5.49,0.841800,EUR,4.62,,
GPA.3336-2828-6597-33550,"Sep 4, 2021",5:50:00 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,dreamqltesq,US,MI,49262,USD,-0.82,0.841800,EUR,-0.69,,
GPA.3335-5726-5613-89706,"Sep 4, 2021",6:39:40 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,beyond2q,CA,ON,P2A 1X5,CAD,4.49,0.672180,EUR,3.02,,
GPA.3335-5726-5613-89706,"Sep 4, 2021",6:39:40 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,beyond2q,CA,ON,P2A 1X5,CAD,-0.67,0.672180,EUR,-0.45,,
GPA.3381-4475-5014-48744,"Sep 4, 2021",7:13:08 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,dreamqltesq,US,GA,31312,USD,5.49,0.841800,EUR,4.62,,
GPA.3381-4475-5014-48744,"Sep 4, 2021",7:13:08 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,dreamqltesq,US,GA,31312,USD,-0.82,0.841800,EUR,-0.69,,
GPA.3319-3607-2884-29621,"Sep 4, 2021",7:13:50 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,dreamqltesq,US,GA,31312,USD,3.49,0.841800,EUR,2.94,,
GPA.3319-3607-2884-29621,"Sep 4, 2021",7:13:50 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,dreamqltesq,US,GA,31312,USD,-0.52,0.841800,EUR,-0.44,,
GPA.3322-1703-3079-61516,"Sep 4, 2021",10:26:47 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,d2q,US,CA,95673,USD,5.49,0.841800,EUR,4.62,,
GPA.3322-1703-3079-61516,"Sep 4, 2021",10:26:47 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,d2q,US,CA,95673,USD,-0.82,0.841800,EUR,-0.69,,
GPA.3375-8160-2022-50917,"Sep 5, 2021",10:12:07 AM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,cruiserlteatt,US,MO,65101,USD,5.49,0.841800,EUR,4.62,,
GPA.3375-8160-2022-50917,"Sep 5, 2021",10:12:07 AM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,cruiserlteatt,US,MO,65101,USD,-0.82,0.841800,EUR,-0.69,,
GPA.3376-3155-8391-46804,"Sep 5, 2021",11:40:17 AM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,z3q,US,OR,97914,USD,5.49,0.841800,EUR,4.62,,
GPA.3376-3155-8391-46804,"Sep 5, 2021",11:40:17 AM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,z3q,US,OR,97914,USD,-0.82,0.841800,EUR,-0.69,,
GPA.3357-1487-7786-02084,"Sep 5, 2021",1:25:49 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,starqltesq,US,MI,49345,USD,5.49,0.841800,EUR,4.62,,
GPA.3357-1487-7786-02084,"Sep 5, 2021",1:25:49 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,starqltesq,US,MI,49345,USD,-0.82,0.841800,EUR,-0.69,,
GPA.3339-0374-5774-75996,"Sep 5, 2021",3:40:47 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,a11q,US,MI,48706,USD,3.49,0.841700,EUR,2.94,,
GPA.3339-0374-5774-75996,"Sep 5, 2021",3:40:47 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,a11q,US,MI,48706,USD,-0.52,0.841700,EUR,-0.44,,
GPA.3387-7069-1425-73247,"Sep 5, 2021",3:41:02 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,a11q,US,MI,48706,USD,5.49,0.841700,EUR,4.62,,
