Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Product id,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency)
GPA.3345-8622-1982-51549,"Jun 1, 2021",12:15:21 PM PDT,,Charge,,Pathfinder DM tools (Complete Reference for Pathfinder),com.vansteinengroentjes.apps.ddpf,1,premium,OnePlus7ProTMO,US,WA,98204,USD,2.49,0.817650,EUR,2.04
GPA.3345-8622-1982-51549,"Jun 1, 2021",12:15:21 PM PDT,,Google fee,,Pathfinder DM tools (Complete Reference for Pathfinder),com.vansteinengroentjes.apps.ddpf,1,premium,OnePlus7ProTMO,US,WA,98204,USD,-0.75,0.817650,EUR,-0.61
GPA.3309-9945-4854-73987,"Jun 1, 2021",12:15:56 PM PDT,,Charge,,Character Manager (Complete Reference for Pathfinder),com.vansteinengroentjes.apps.ddpf,1,unlockcharactermanager,OnePlus7ProTMO,US,WA,98204,USD,1.99,0.817650,EUR,1.63
GPA.3309-9945-4854-73987,"Jun 1, 2021",12:15:56 PM PDT,,Google fee,,Character Manager (Complete Reference for Pathfinder),com.vansteinengroentjes.apps.ddpf,1,unlockcharactermanager,OnePlus7ProTMO,US,WA,98204,USD,-0.60,0.817650,EUR,-0.49
GPA.3370-7096-7934-01916,"Jun 1, 2021",5:38:09 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,HydrogenONE,US,IL,62011,USD,5.49,0.818700,EUR,4.49
GPA.3370-7096-7934-01916,"Jun 1, 2021",5:38:09 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,HydrogenONE,US,IL,62011,USD,-1.65,0.818700,EUR,-1.35
GPA.3301-2849-0660-49349,"Jun 1, 2021",10:46:39 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,100005209,US,MN,55320,USD,3.49,0.818250,EUR,2.86
GPA.3301-2849-0660-49349,"Jun 1, 2021",10:46:39 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,100005209,US,MN,55320,USD,-1.05,0.818250,EUR,-0.86
GPA.3372-1497-1097-13226,"Jun 2, 2021",7:51:43 AM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,r8q,US,WI,54220,USD,5.49,0.820650,EUR,4.51
GPA.3372-1497-1097-13226,"Jun 2, 2021",7:51:43 AM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,r8q,US,WI,54220,USD,-1.65,0.820650,EUR,-1.35
GPA.3397-6490-8608-67650,"Jun 2, 2021",9:14:16 AM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,star2qltesq,US,TX,78250,USD,5.49,0.819250,EUR,4.50
GPA.3397-6490-8608-67650,"Jun 2, 2021",9:14:16 AM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,star2qltesq,US,TX,78250,USD,-1.65,0.819250,EUR,-1.35
GPA.3378-4840-7906-77859,"Jun 2, 2021",10:32:52 AM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,OnePlus8TMO,US,OK,74830,USD,3.49,0.818750,EUR,2.86
GPA.3378-4840-7906-77859,"Jun 2, 2021",10:32:52 AM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,OnePlus8TMO,US,OK,74830,USD,-1.05,0.818750,EUR,-0.86
GPA.3337-5066-3972-21487,"Jun 2, 2021",12:11:44 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,beyond1,IL,,7548207,ILS,12.90,0.252240,EUR,3.25
GPA.3337-5066-3972-21487,"Jun 2, 2021",12:11:44 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,beyond1,IL,,7548207,ILS,-3.90,0.252240,EUR,-0.98
GPA.3300-4898-3971-53254,"Jun 2, 2021",1:21:50 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,coral,GB,,YO24 4NG,GBP,2.44,1.160500,EUR,2.83
GPA.3394-2237-3685-76725,"Jun 2, 2021",1:57:13 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,beyond0,SE,,226 48,SEK,17.36,0.099078,EUR,1.72
GPA.3378-4260-3267-02950,"Jun 2, 2021",3:49:27 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,judypn,US,OK,74429,USD,3.49,0.818900,EUR,2.86
GPA.3378-4260-3267-02950,"Jun 2, 2021",3:49:27 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,judypn,US,OK,74429,USD,-1.05,0.818900,EUR,-0.86
GPA.3382-2426-0245-19371,"Jun 2, 2021",5:14:34 PM PDT,,Charge,,Premium account - removes ads (Dungeon Messenger),com.vansteinengroentjes.ddchat,1,premium,mdh50lm,US,WI,54741,USD,4.49,0.818900,EUR,3.68
GPA.3382-2426-0245-19371,"Jun 2, 2021",5:14:34 PM PDT,,Google fee,,Premium account - removes ads (Dungeon Messenger),com.vansteinengroentjes.ddchat,1,premium,mdh50lm,US,WI,54741,USD,-1.35,0.818900,EUR,-1.11
GPA.3397-4615-9124-67351,"Jun 2, 2021",8:56:21 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,minsk,US,WV,25123,USD,5.49,0.819250,EUR,4.50
GPA.3397-4615-9124-67351,"Jun 2, 2021",8:56:21 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,minsk,US,WV,25123,USD,-1.65,0.819250,EUR,-1.35
GPA.3382-5533-6587-70559,"Jun 2, 2021",8:56:34 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,minsk,US,WV,25123,USD,3.49,0.819250,EUR,2.86
GPA.3382-5533-6587-70559,"Jun 2, 2021",8:56:34 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,minsk,US,WV,25123,USD,-1.05,0.819250,EUR,-0.86
GPA.3345-6361-4033-15796,"Jun 2, 2021",11:16:07 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,a11q,US,CA,90803,USD,5.49,0.819550,EUR,4.50
GPA.3345-6361-4033-15796,"Jun 2, 2021",11:16:07 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,a11q,US,CA,90803,USD,-1.65,0.819550,EUR,-1.35
GPA.3302-4797-0047-31337,"Jun 3, 2021",1:16:46 AM PDT,,Charge,,Remove advertisements (Whisky App),com.vansteinengroentjes.apps.whisky,1,com.vansteinengroentjes.apps.whisky.adverts,d2x,GB,,G4 0HF,GBP,0.78,1.161600,EUR,0.91
GPA.3355-0549-7639-66352,"Jun 3, 2021",9:28:31 AM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,taimen,US,AZ,85203,USD,3.49,0.823950,EUR,2.88
GPA.3355-0549-7639-66352,"Jun 3, 2021",9:28:31 AM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,taimen,US,AZ,85203,USD,-1.05,0.823950,EUR,-0.87
