Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Product id,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency)
GPA.3364-2193-8253-61174,"Aug 1, 2021",11:07:28 AM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,mth8,US,GA,30032,USD,5.49,0.842650,EUR,4.63
GPA.3364-2193-8253-61174,"Aug 1, 2021",11:07:28 AM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,mth8,US,GA,30032,USD,-0.82,0.842650,EUR,-0.69
GPA.3376-8028-3299-83130,"Aug 1, 2021",11:07:43 AM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,mth8,US,GA,30032,USD,3.49,0.842650,EUR,2.94
GPA.3376-8028-3299-83130,"Aug 1, 2021",11:07:43 AM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,mth8,US,GA,30032,USD,-0.52,0.842650,EUR,-0.44
GPA.3316-2970-3065-13412,"Aug 1, 2021",1:10:21 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,gts7xlwifi,US,NE,68005,USD,3.49,0.842700,EUR,2.94
GPA.3316-2970-3065-13412,"Aug 1, 2021",1:10:21 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,gts7xlwifi,US,NE,68005,USD,-0.52,0.842700,EUR,-0.44
GPA.3300-0537-9454-52629,"Aug 1, 2021",1:10:36 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,gts7xlwifi,US,NE,68005,USD,5.49,0.842700,EUR,4.63
GPA.3300-0537-9454-52629,"Aug 1, 2021",1:10:36 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,gts7xlwifi,US,NE,68005,USD,-0.82,0.842700,EUR,-0.69
GPA.3349-3181-3147-87125,"Aug 1, 2021",3:13:25 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,p3q,US,NV,89429,USD,3.49,0.842450,EUR,2.94
GPA.3349-3181-3147-87125,"Aug 1, 2021",3:13:25 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,p3q,US,NV,89429,USD,-0.52,0.842450,EUR,-0.44
GPA.3317-8809-4185-67857,"Aug 1, 2021",3:14:11 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,p3q,US,NV,89429,USD,5.49,0.842450,EUR,4.63
GPA.3317-8809-4185-67857,"Aug 1, 2021",3:14:11 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,p3q,US,NV,89429,USD,-0.82,0.842450,EUR,-0.69
GPA.3303-0321-1073-23061,"Aug 1, 2021",7:50:28 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,davinci,RU,Ярославская область,150029,RUB,299.17,0.011520,EUR,3.45
GPA.3303-0321-1073-23061,"Aug 1, 2021",7:50:28 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,davinci,RU,Ярославская область,150029,RUB,-44.88,0.011520,EUR,-0.52
GPA.3379-1158-7918-95391,"Aug 1, 2021",7:53:58 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,davinci,RU,Ярославская область,150029,RUB,190.83,0.011520,EUR,2.20
GPA.3379-1158-7918-95391,"Aug 1, 2021",7:53:58 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,davinci,RU,Ярославская область,150029,RUB,-28.62,0.011520,EUR,-0.33
GPA.3305-1973-4315-68393,"Aug 1, 2021",9:55:28 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,dream2qltesq,US,OR,97478,USD,5.49,0.842400,EUR,4.62
GPA.3305-1973-4315-68393,"Aug 1, 2021",9:55:28 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,dream2qltesq,US,OR,97478,USD,-0.82,0.842400,EUR,-0.69
GPA.3339-4925-1434-79167,"Aug 2, 2021",3:08:16 AM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,p3s,GB,,BS3 5AB,GBP,1.84,1.171200,EUR,2.15
GPA.3394-7353-2042-75984,"Aug 2, 2021",9:08:51 AM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,IRM_sprout,GB,,BN13 2BS,GBP,1.84,1.169700,EUR,2.15
GPA.3341-6722-7724-16867,"Aug 2, 2021",10:55:01 AM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,p3q,CA,BC,V2J1L8,CAD,4.49,0.673750,EUR,3.03
GPA.3341-6722-7724-16867,"Aug 2, 2021",10:55:01 AM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,p3q,CA,BC,V2J1L8,CAD,-0.67,0.673750,EUR,-0.45
GPA.3357-7742-8244-44929,"Aug 2, 2021",11:48:07 AM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,d2q,US,PA,15938,USD,5.49,0.842500,EUR,4.63
GPA.3357-7742-8244-44929,"Aug 2, 2021",11:48:07 AM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,d2q,US,PA,15938,USD,-0.82,0.842500,EUR,-0.69
GPA.3380-4406-9126-68824,"Aug 2, 2021",11:50:38 AM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,d2q,US,PA,15938,USD,3.49,0.842500,EUR,2.94
GPA.3380-4406-9126-68824,"Aug 2, 2021",11:50:38 AM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,d2q,US,PA,15938,USD,-0.52,0.842500,EUR,-0.44
GPA.3380-3625-4201-30615,"Aug 2, 2021",11:53:18 AM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,c2q,US,AK,99709,USD,5.49,0.842500,EUR,4.63
GPA.3380-3625-4201-30615,"Aug 2, 2021",11:53:18 AM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,c2q,US,AK,99709,USD,-0.82,0.842500,EUR,-0.69
GPA.3345-7566-0022-69383,"Aug 2, 2021",3:28:41 PM PDT,,Charge,,Character Manager (Complete Reference for Pathfinder),com.vansteinengroentjes.apps.ddpf,1,unlockcharactermanager,dreamlte,GB,,PE19 5YH,GBP,1.33,1.170200,EUR,1.56
GPA.3349-0059-2134-96785,"Aug 2, 2021",5:09:57 PM PDT,,Charge,,Character Manager (Complete Reference for Pathfinder),com.vansteinengroentjes.apps.ddpf,1,unlockcharactermanager,p3q,US,CA,90210,USD,1.99,0.842200,EUR,1.68
GPA.3349-0059-2134-96785,"Aug 2, 2021",5:09:57 PM PDT,,Google fee,,Character Manager (Complete Reference for Pathfinder),com.vansteinengroentjes.apps.ddpf,1,unlockcharactermanager,p3q,US,CA,90210,USD,-0.30,0.842200,EUR,-0.25
GPA.3328-8908-8324-78382,"Aug 2, 2021",5:10:46 PM PDT,,Charge,,Pathfinder DM tools (Complete Reference for Pathfinder),com.vansteinengroentjes.apps.ddpf,1,premium,p3q,US,CA,90210,USD,2.49,0.842200,EUR,2.10
